"JURISDICTION","YEAR","POPULATION","MURDER","RAPE","ROBBERY","AGG. ASSAULT","B & E","LARCENY THEFT","M/V THEFT","GRAND TOTAL","PERCENT CHANGE","VIOLENT CRIME TOTAL","VIOLENT CRIME PERCENT","VIOLENT CRIME PERCENT CHANGE","PROPERTY CRIME TOTALS","PROPERTY CRIME PERCENT","PROPERTY CRIME PERCENT CHANGE","OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
"Harford County","1995","203,438","5","64","151","418","1,145","3,851","345","5,979","1.9%","638","10.7%","9.8%","5,341","89.3%","1%","2,939","-0.3%","313.6","7.4%","2,625.4","-1.2%","2.5","31.5","74.2","205.5","562.8","1,893","169.6","-18.5%","84.1%","20.1%","-2.2%","-7.2%","2.4%","-16.3%"
"Harford County","1996","204,646","6","51","134","363","1,317","3,946","399","6,216","4%","554","8.9%","-13.2%","5,662","91.1%","6%","3,037.4","3.4%","270.7","-13.7%","2,766.7","5.4%","2.9","24.9","65.5","177.4","643.6","1,928.2","195","19.3%","-20.8%","-11.8%","-13.7%","14.3%","1.9%","15%"
"Harford County","1997","205,533","3","52","171","427","1,182","3,818","336","5,989","-3.7%","653","10.9%","17.9%","5,336","89.1%","-5.8%","2,913.9","-4.1%","317.7","17.4%","2,596.2","-6.2%","1.5","25.3","83.2","207.8","575.1","1,857.6","163.5","-50.2%","1.5%","27.1%","17.1%","-10.6%","-3.7%","-16.2%"
"Harford County","1998","214,271","9","24","147","358","936","3,668","403","5,545","-7.4%","538","9.7%","-17.6%","5,007","90.3%","-6.2%","2,587.8","-11.2%","251.1","-21%","2,336.8","-10%","4.2","11.2","68.6","167.1","436.8","1,711.9","188.1","187.8%","-55.7%","-17.5%","-19.6%","-24%","-7.8%","15%"
"Harford County","1999","216,208","6","34","146","377","936","3,582","359","5,440","-1.9%","563","10.3%","4.6%","4,877","89.7%","-2.6%","2,516.1","-2.8%","260.4","3.7%","2,255.7","-3.5%","2.8","15.7","67.5","174.4","432.9","1,656.7","166","-33.9%","40.4%","-1.6%","4.4%","-0.9%","-3.2%","-11.7%"
"Harford County","2000","218,590","4","31","167","419","921","3,590","358","5,490","0.9%","621","11.3%","10.3%","4,869","88.7%","-0.2%","2,511.6","-0.2%","284.1","9.1%","2,227.5","-1.3%","1.8","14.2","76.4","191.7","421.3","1,642.3","163.8","-34.1%","-9.8%","13.1%","9.9%","-2.7%","-0.9%","-1.4%"
"Harford County","2001","221,837","2","31","191","453","1,274","4,005","414","6,370","16%","677","10.6%","9%","5,693","89.4%","16.9%","2,871.5","14.3%","305.2","7.4%","2,566.3","15.2%","0.9","14","86.1","204.2","574.3","1,805.4","186.6","-50.7%","-1.5%","12.7%","6.5%","36.3%","9.9%","13.9%"
"Harford County","2002","225,262","5","45","237","554","1,150","4,477","438","6,906","8.4%","841","12.2%","24.2%","6,065","87.8%","6.5%","3,065.8","6.8%","373.3","22.3%","2,692.4","4.9%","2.2","20","105.2","245.9","510.5","1,987.5","194.4","146.2%","43%","22.2%","20.4%","-11.1%","10.1%","4.2%"
"Harford County","2003","229,831","5","46","248","657","1,082","3,857","330","6,225","-9.9%","956","15.4%","13.7%","5,269","84.6%","-13.1%","2,708.5","-11.7%","416","11.4%","2,292.6","-14.9%","2.2","20","107.9","285.9","470.8","1,678.2","143.6","-2%","0.2%","2.6%","16.2%","-7.8%","-15.6%","-26.2%"
"Harford County","2004","234,246","3","45","214","623","1,112","3,836","413","6,246","0.3%","885","14.2%","-7.4%","5,361","85.8%","1.7%","2,666.4","-1.6%","377.8","-9.2%","2,288.6","-0.2%","1.3","19.2","91.4","266","474.7","1,637.6","176.3","-41.1%","-4%","-15.3%","-7%","0.8%","-2.4%","22.8%"
"Harford County","2005","237,388","2","30","193","620","961","3,591","359","5,756","-7.8%","845","14.7%","-4.5%","4,911","85.3%","-8.4%","2,424.7","-9.1%","356","-5.8%","2,068.8","-9.6%","0.8","12.6","81.3","261.2","404.8","1,512.7","151.2","-34.2%","-34.2%","-11%","-1.8%","-14.7%","-7.6%","-14.2%"
"Harford County","2006","239,914","9","36","202","579","990","3,332","437","5,585","-3%","826","14.8%","-2.2%","4,759","85.2%","-3.1%","2,327.9","-4%","344.3","-3.3%","1,983.6","-4.1%","3.8","15","84.2","241.3","412.6","1,388.8","182.1","345.3%","18.7%","3.6%","-7.6%","1.9%","-8.2%","20.4%"
"Harford County","2007","242,818","8","50","212","663","1,097","3,453","467","5,950","6.5%","933","15.7%","13%","5,017","84.3%","5.4%","2,450.4","5.3%","384.2","11.6%","2,066.2","4.2%","3.3","20.6","87.3","273","451.8","1,422.1","192.3","-12.2%","37.2%","3.7%","13.1%","9.5%","2.4%","5.6%"
"Harford County","2008","240,963","6","66","245","562","1,155","3,663","403","6,100","2.5%","879","14.4%","-5.8%","5,221","85.6%","4.1%","2,531.5","3.3%","364.8","-5.1%","2,166.7","4.9%","2.5","27.4","101.7","233.2","479.3","1,520.2","167.2","-24.4%","33%","16.5%","-14.6%","6.1%","6.9%","-13%"
"Harford County","2009","243,988","4","60","228","592","809","3,482","251","5,426","-11%","884","16.3%","0.6%","4,542","83.7%","-13%","2,223.9","-12.2%","362.3","-0.7%","1,861.6","-14.1%","1.6","24.6","93.4","242.6","331.6","1,427.1","102.9","-34.2%","-10.2%","-8.1%","4%","-30.8%","-6.1%","-38.5%"
"Harford County","2010","246,347","6","63","196","588","889","3,377","236","5,355","-1.3%","853","15.9%","-3.5%","4,502","84.1%","-0.9%","2,173.8","-2.3%","346.3","-4.4%","1,827.5","-1.8%","2.4","25.6","79.6","238.7","360.9","1,370.8","95.8","48.6%","4%","-14.9%","-1.6%","8.8%","-3.9%","-6.9%"
"Harford County","2011","247,147","5","39","148","451","779","2,965","207","4,594","-14.2%","643","14%","-24.6%","3,951","86%","-12.2%","1,858.8","-14.5%","260.2","-24.9%","1,598.6","-12.5%","2","15.8","59.9","182.5","315.2","1,199.7","83.8","-16.9%","-38.3%","-24.7%","-23.5%","-12.7%","-12.5%","-12.6%"
"Harford County","2012","248,869","3","54","156","484","1,019","2,806","206","4,728","2.9%","697","14.7%","8.4%","4,031","85.3%","2%","1,899.8","2.2%","280.1","7.6%","1,619.7","1.3%","1.2","21.7","62.7","194.5","409.5","1,127.5","82.8","-40.4%","37.5%","4.7%","6.6%","29.9%","-6%","-1.2%"
"Harford County","2013","250,244","5","69","178","410","845","3,087","131","4,725","-0.1%","662","14%","-5%","4,063","86%","0.8%","1,888.2","-0.6%","264.5","-5.5%","1,623.6","0.2%","2","27.6","71.1","163.8","337.7","1,233.6","52.3","65.8%","27.1%","13.5%","-15.8%","-17.5%","9.4%","-36.8%"
"Harford County","2014","250,706","6","64","165","376","674","2,875","106","4,266","-9.7%","611","14.3%","-7.7%","3,655","85.7%","-10%","1,701.6","-9.9%","243.7","-7.9%","1,457.9","-10.2%","2.4","25.5","65.8","150","268.8","1,146.8","42.3","19.8%","-7.4%","-7.5%","-8.5%","-20.4%","-7%","-19.2%"
"Harford County","2015","250,575","7","43","165","383","633","2,408","108","3,747","-12.2%","598","16%","-2.1%","3,149","84%","-13.8%","1,495.4","-12.1%","238.7","-2.1%","1,256.7","-13.8%","2.8","17.2","65.8","152.8","252.6","961","43.1","16.7%","-32.8%","0.1%","1.9%","-6%","-16.2%","1.9%"
"Harford County","2016","249,859","9","42","121","380","569","2,813","90","4,024","7.4%","552","13.7%","-7.7%","3,472","86.3%","10.3%","1,610.5","7.7%","220.9","-7.4%","1,389.6","10.6%","3.6","16.8","48.4","152.1","227.7","1,125.8","36","28.9%","-2%","-26.5%","-0.5%","-9.9%","17.2%","-16.4%"
"Harford County","2017","251,859","10","53","133","342","477","2,290","84","3,389","-15.8%","538","15.9%","-2.5%","2,851","84.1%","-17.9%","1,345.6","-16.4%","213.6","-3.3%","1,132","-18.5%","4","21","52.8","135.8","189.4","909.2","33.4","10.2%","25.2%","9%","-10.7%","-16.8%","-19.2%","-7.4%"
"Harford County","2018","251,139","9","71","108","368","390","2,299","143","3,388","0%","556","16.4%","3.3%","2,832","83.6%","-0.7%","1,349.1","0.3%","221.4","3.6%","1,127.7","-0.4%","3.6","28.3","43","146.5","155.3","915.4","56.9","-9.7%","34.3%","-18.6%","7.9%","-18%","0.7%","70.7%"
"Harford County","2019","253,798","7","49","90","327","346","1,987","116","2,922","-13.8%","473","16.2%","-14.9%","2,449","83.8%","-13.5%","1,151.3","-14.7%","186.4","-15.8%","964.9","-14.4%","2.8","19.3","35.5","128.8","136.3","782.9","45.7","-23%","-31.7%","-17.5%","-12.1%","-12.2%","-14.5%","-19.7%"
"Harford County","2020","255,760","5","34","61","311","234","1,441","131","2,217","-24.1%","411","18.5%","-13.1%","1,806","81.5%","-26.3%","866.8","-24.7%","160.7","-13.8%","706.1","-26.8%","2","13.3","23.9","121.6","91.5","563.4","51.2","-29.1%","-31.1%","-32.7%","-5.6%","-32.9%","-28%","12.1%"
"Howard County","1975","95,370","6","40","114","267","1,343","3,161","440","5,371",,"427","8%",,"4,944","92%",,"5,631.8",,"447.7",,"5,184",,"6.3","41.9","119.5","280","1,408.2","3,314.5","461.4",,,,,,,
"Howard County","1976","97,877","3","42","80","272","1,037","3,282","385","5,101","-5%","397","7.8%","-7%","4,704","92.2%","-4.9%","5,211.6","-7.5%","405.6","-9.4%","4,806","-7.3%","3.1","42.9","81.7","277.9","1,059.5","3,353.2","393.4","-51.3%","2.3%","-31.6%","-0.7%","-24.8%","1.2%","-14.7%"
"Howard County","1977","103,425","3","41","114","340","1,072","3,087","462","5,119","0.4%","498","9.7%","25.4%","4,621","90.3%","-1.8%","4,949.5","-5%","481.5","18.7%","4,468","-7%","2.9","39.6","110.2","328.7","1,036.5","2,984.8","446.7","-5.4%","-7.6%","34.9%","18.3%","-2.2%","-11%","13.6%"
"Howard County","1978","117,027","1","30","102","395","1,167","3,565","399","5,659","10.5%","528","9.3%","6%","5,131","90.7%","11%","4,835.6","-2.3%","451.2","-6.3%","4,384.5","-1.9%","0.9","25.6","87.2","337.5","997.2","3,046.3","340.9","-70.5%","-35.3%","-20.9%","2.7%","-3.8%","2.1%","-23.7%"
"Howard County","1979","116,777","3","35","84","648","1,423","3,633","395","6,221","9.9%","770","12.4%","45.8%","5,451","87.6%","6.2%","5,327.2","10.2%","659.4","46.1%","4,667.9","6.5%","2.6","30","71.9","554.9","1,218.6","3,111.1","338.3","200.6%","16.9%","-17.5%","64.4%","22.2%","2.1%","-0.8%"
"Howard County","1980","118,443","5","34","80","460","1,826","4,196","385","6,986","12.3%","579","8.3%","-24.8%","6,407","91.7%","17.5%","5,898.2","10.7%","488.8","-25.9%","5,409.4","15.9%","4.2","28.7","67.5","388.4","1,541.7","3,542.6","325.1","64.3%","-4.2%","-6.1%","-30%","26.5%","13.9%","-3.9%"
"Howard County","1981","120,387","5","34","103","314","1,677","3,933","415","6,481","-7.2%","456","7%","-21.2%","6,025","93%","-6%","5,383.5","-8.7%","378.8","-22.5%","5,004.7","-7.5%","4.2","28.2","85.6","260.8","1,393","3,267","344.7","-1.6%","-1.6%","26.7%","-32.8%","-9.6%","-7.8%","6.1%"
"Howard County","1982","120,500","7","35","102","288","1,295","3,931","421","6,079","-6.2%","432","7.1%","-5.3%","5,647","92.9%","-6.3%","5,044.8","-6.3%","358.5","-5.4%","4,686.3","-6.4%","5.8","29","84.6","239","1,074.7","3,262.2","349.4","39.9%","2.8%","-1.1%","-8.4%","-22.9%","-0.1%","1.4%"
"Howard County","1983","121,601","1","21","110","269","1,262","3,749","332","5,744","-5.5%","401","7%","-7.2%","5,343","93%","-5.4%","4,723.6","-6.4%","329.8","-8%","4,393.9","-6.2%","0.8","17.3","90.5","221.2","1,037.8","3,083","273","-85.8%","-40.5%","6.9%","-7.4%","-3.4%","-5.5%","-21.9%"
"Howard County","1984","129,114","7","30","106","236","1,448","4,345","437","6,609","15.1%","379","5.7%","-5.5%","6,230","94.3%","16.6%","5,118.7","8.4%","293.5","-11%","4,825.2","9.8%","5.4","23.2","82.1","182.8","1,121.5","3,365.2","338.5","559.3%","34.5%","-9.2%","-17.4%","8.1%","9.2%","24%"
"Howard County","1985","137,032","5","43","127","345","1,502","4,752","453","7,227","9.4%","520","7.2%","37.2%","6,707","92.8%","7.7%","5,274","3%","379.5","29.3%","4,894.5","1.4%","3.6","31.4","92.7","251.8","1,096.1","3,467.8","330.6","-32.7%","35.1%","12.9%","37.7%","-2.3%","3%","-2.3%"
"Howard County","1986","139,251","3","36","117","340","1,736","5,178","676","8,086","11.9%","496","6.1%","-4.6%","7,590","93.9%","13.2%","5,806.8","10.1%","356.2","-6.1%","5,450.6","11.4%","2.2","25.9","84","244.2","1,246.7","3,718.5","485.5","-41%","-17.6%","-9.3%","-3%","13.7%","7.2%","46.8%"
"Howard County","1987","153,629","6","40","104","280","1,590","5,147","823","7,990","-1.2%","430","5.4%","-13.3%","7,560","94.6%","-0.4%","5,200.8","-10.4%","279.9","-21.4%","4,920.9","-9.7%","3.9","26","67.7","182.3","1,035","3,350.3","535.7","81.3%","0.7%","-19.4%","-25.4%","-17%","-9.9%","10.4%"
"Howard County","1988","160,989","2","48","113","357","1,725","5,121","799","8,165","2.2%","520","6.4%","20.9%","7,645","93.6%","1.1%","5,071.8","-2.5%","323","15.4%","4,748.8","-3.5%","1.2","29.8","70.2","221.8","1,071.5","3,181","496.3","-68.2%","14.5%","3.7%","21.7%","3.5%","-5.1%","-7.4%"
"Howard County","1989","165,546","10","28","167","364","1,691","5,117","930","8,307","1.7%","569","6.8%","9.4%","7,738","93.2%","1.2%","5,017.9","-1.1%","343.7","6.4%","4,674.2","-1.6%","6","16.9","100.9","219.9","1,021.5","3,091","561.8","386.2%","-43.3%","43.7%","-0.8%","-4.7%","-2.8%","13.2%"
"Howard County","1990","187,328","7","50","99","433","1,802","4,899","997","8,287","-0.2%","589","7.1%","3.5%","7,698","92.9%","-0.5%","4,423.8","-11.8%","314.4","-8.5%","4,109.4","-12.1%","3.7","26.7","52.8","231.1","961.9","2,615.2","532.2","-38.1%","57.8%","-47.6%","5.1%","-5.8%","-15.4%","-5.3%"
"Howard County","1991","190,403","8","44","151","417","1,665","5,667","1,105","9,057","9.3%","620","6.8%","5.3%","8,437","93.2%","9.6%","4,756.8","7.5%","325.6","3.6%","4,431.1","7.8%","4.2","23.1","79.3","219","874.5","2,976.3","580.3","12.4%","-13.4%","50.1%","-5.3%","-9.1%","13.8%","9%"
"Howard County","1992","192,284","6","43","135","404","1,673","5,545","935","8,741","-3.5%","588","6.7%","-5.2%","8,153","93.3%","-3.4%","4,545.9","-4.4%","305.8","-6.1%","4,240.1","-4.3%","3.1","22.4","70.2","210.1","870.1","2,883.8","486.3","-25.7%","-3.2%","-11.5%","-4.1%","-0.5%","-3.1%","-16.2%"
"Howard County","1993","201,881","5","26","130","348","1,490","5,350","1,083","8,432","-3.5%","509","6%","-13.4%","7,923","94%","-2.8%","4,176.7","-8.1%","252.1","-17.6%","3,924.6","-7.4%","2.5","12.9","64.4","172.4","738.1","2,650.1","536.5","-20.6%","-42.4%","-8.3%","-18%","-15.2%","-8.1%","10.3%"
"Howard County","1994","203,542","4","31","149","403","1,248","5,868","1,157","8,860","5.1%","587","6.6%","15.3%","8,273","93.4%","4.4%","4,352.9","4.2%","288.4","14.4%","4,064.5","3.6%","2","15.2","73.2","198","613.1","2,882.9","568.4","-20.7%","18.3%","13.7%","14.9%","-16.9%","8.8%","6%"
"Howard County","1995","214,511","3","33","213","382","1,431","6,148","844","9,054","2.2%","631","7%","7.5%","8,423","93%","1.8%","4,220.8","-3%","294.2","2%","3,926.6","-3.4%","1.4","15.4","99.3","178.1","667.1","2,866.1","393.5","-28.8%","1%","35.6%","-10.1%","8.8%","-0.6%","-30.8%"
"Howard County","1996","215,787","5","34","251","343","1,280","6,345","787","9,045","-0.1%","633","7%","0.3%","8,412","93%","-0.1%","4,191.6","-0.7%","293.3","-0.3%","3,898.3","-0.7%","2.3","15.8","116.3","159","593.2","2,940.4","364.7","65.7%","2.4%","17.1%","-10.7%","-11.1%","2.6%","-7.3%"
"Howard County","1997","216,723","1","33","222","298","1,497","6,479","753","9,283","2.6%","554","6%","-12.5%","8,729","94%","3.8%","4,283.3","2.2%","255.6","-12.9%","4,027.7","3.3%","0.5","15.2","102.4","137.5","690.7","2,989.5","347.4","-80.1%","-3.4%","-11.9%","-13.5%","16.4%","1.7%","-4.7%"
"Howard County","1998","230,639","6","41","187","207","1,213","5,457","612","7,723","-16.8%","441","5.7%","-20.4%","7,282","94.3%","-16.6%","3,348.5","-21.8%","191.2","-25.2%","3,157.3","-21.6%","2.6","17.8","81.1","89.8","525.9","2,366","265.3","463.8%","16.7%","-20.8%","-34.7%","-23.9%","-20.9%","-23.6%"
"Howard County","1999","238,083","6","29","240","215","1,317","5,261","704","7,772","0.6%","490","6.3%","11.1%","7,282","93.7%","0%","3,264.4","-2.5%","205.8","7.6%","3,058.6","-3.1%","2.5","12.2","100.8","90.3","553.2","2,209.7","295.7","-3.1%","-31.5%","24.3%","0.6%","5.2%","-6.6%","11.4%"
"Howard County","2000","247,842","7","37","166","293","1,271","5,574","486","7,834","0.8%","503","6.4%","2.7%","7,331","93.6%","0.7%","3,160.9","-3.2%","203","-1.4%","2,957.9","-3.3%","2.8","14.9","67","118.2","512.8","2,249","196.1","12.1%","22.6%","-33.6%","30.9%","-7.3%","1.8%","-33.7%"
"Howard County","2001","251,523","5","34","199","277","1,584","5,757","588","8,444","7.8%","515","6.1%","2.4%","7,929","93.9%","8.2%","3,357.1","6.2%","204.8","0.9%","3,152.4","6.6%","2","13.5","79.1","110.1","629.8","2,288.9","233.8","-29.6%","-9.5%","18.1%","-6.8%","22.8%","1.8%","19.2%"
"Howard County","2002","255,406","7","38","218","210","1,294","5,469","619","7,855","-7%","473","6%","-8.2%","7,382","94%","-6.9%","3,075.5","-8.4%","185.2","-9.6%","2,890.3","-8.3%","2.7","14.9","85.4","82.2","506.6","2,141.3","242.4","37.9%","10.1%","7.9%","-25.3%","-19.6%","-6.4%","3.7%"
"Howard County","2003","262,537","7","46","225","271","1,158","5,148","682","7,537","-4%","549","7.3%","16.1%","6,988","92.7%","-5.3%","2,870.8","-6.7%","209.1","12.9%","2,661.7","-7.9%","2.7","17.5","85.7","103.2","441.1","1,960.9","259.8","-2.7%","17.8%","0.4%","25.5%","-12.9%","-8.4%","7.2%"
"Howard County","2004","266,623","1","40","224","344","1,167","5,091","598","7,465","-1%","609","8.2%","10.9%","6,856","91.8%","-1.9%","2,799.8","-2.5%","228.4","9.2%","2,571.4","-3.4%","0.4","15","84","129","437.7","1,909.4","224.3","-85.9%","-14.4%","-2%","25%","-0.8%","-2.6%","-13.7%"
"Howard County","2005","268,769","4","42","263","306","1,225","5,409","544","7,793","4.4%","615","7.9%","1%","7,178","92.1%","4.7%","2,899.5","3.6%","228.8","0.2%","2,670.7","3.9%","1.5","15.6","97.9","113.9","455.8","2,012.5","202.4","296.8%","4.2%","16.5%","-11.8%","4.1%","5.4%","-9.8%"
"Howard County","2006","270,195","5","42","279","298","1,324","5,180","656","7,784","-0.1%","624","8%","1.5%","7,160","92%","-0.3%","2,880.9","-0.6%","230.9","0.9%","2,649.9","-0.8%","1.9","15.5","103.3","110.3","490","1,917.1","242.8","24.3%","-0.5%","5.5%","-3.1%","7.5%","-4.7%","20%"
"Howard County","2007","273,642","5","36","247","302","1,242","5,444","551","7,827","0.6%","590","7.5%","-5.4%","7,237","92.5%","1.1%","2,860.3","-0.7%","215.6","-6.6%","2,644.7","-0.2%","1.8","13.2","90.3","110.4","453.9","1,989.5","201.4","-1.3%","-15.4%","-12.6%","0.1%","-7.4%","3.8%","-17.1%"
"Howard County","2008","274,874","4","36","259","406","1,376","6,346","534","8,961","14.5%","705","7.9%","19.5%","8,256","92.1%","14.1%","3,260","14%","256.5","19%","3,003.6","13.6%","1.5","13.1","94.2","147.7","500.6","2,308.7","194.3","-20.4%","-0.4%","4.4%","33.8%","10.3%","16%","-3.5%"
"Howard County","2009","279,350","2","44","262","443","1,209","5,418","393","7,771","-13.3%","751","9.7%","6.5%","7,020","90.3%","-15%","2,781.8","-14.7%","268.8","4.8%","2,513","-16.3%","0.7","15.8","93.8","158.6","432.8","1,939.5","140.7","-50.8%","20.3%","-0.5%","7.4%","-13.5%","-16%","-27.6%"
"Howard County","2010","286,963","5","26","222","313","1,393","5,023","389","7,371","-5.1%","566","7.7%","-24.6%","6,805","92.3%","-3.1%","2,568.6","-7.7%","197.2","-26.6%","2,371.4","-5.6%","1.7","9.1","77.4","109.1","485.4","1,750.4","135.6","143.4%","-42.5%","-17.5%","-31.2%","12.2%","-9.8%","-3.6%"
"Howard County","2011","289,807","6","33","215","354","1,110","5,094","374","7,186","-2.5%","608","8.5%","7.4%","6,578","91.5%","-3.3%","2,479.6","-3.5%","209.8","6.4%","2,269.8","-4.3%","2.1","11.4","74.2","122.2","383","1,757.7","129.1","18.8%","25.7%","-4.1%","12%","-21.1%","0.4%","-4.8%"
"Howard County","2012","295,972","5","33","178","364","1,185","4,921","313","6,999","-2.6%","580","8.3%","-4.6%","6,419","91.7%","-2.4%","2,364.8","-4.6%","196","-6.6%","2,168.8","-4.4%","1.7","11.1","60.1","123","400.4","1,662.7","105.8","-18.4%","-2.1%","-18.9%","0.7%","4.5%","-5.4%","-18.1%"
"Howard County","2013","303,727","5","40","204","376","1,032","4,840","254","6,751","-3.5%","625","9.3%","7.8%","6,126","90.7%","-4.6%","2,222.7","-6%","205.8","5%","2,016.9","-7%","1.6","13.2","67.2","123.8","339.8","1,593.5","83.6","-2.6%","18.1%","11.7%","0.7%","-15.1%","-4.2%","-20.9%"
"Howard County","2014","309,341","5","40","201","368","869","4,629","231","6,343","-6%","614","9.7%","-1.8%","5,729","90.3%","-6.5%","2,050.5","-7.7%","198.5","-3.5%","1,852","-8.2%","1.6","12.9","65","119","280.9","1,496.4","74.7","-1.8%","-1.8%","-3.3%","-3.9%","-17.3%","-6.1%","-10.7%"
"Howard County","2015","313,717","2","69","226","426","787","4,321","208","6,039","-4.8%","723","12%","17.8%","5,316","88%","-7.2%","1,925","-6.1%","230.5","16.1%","1,694.5","-8.5%","0.6","22","72","135.8","250.9","1,377.4","66.3","-60.6%","70.1%","10.9%","14.1%","-10.7%","-8%","-11.2%"
"Howard County","2016","316,777","6","66","202","447","840","4,391","306","6,258","3.6%","721","11.5%","-0.3%","5,537","88.5%","4.2%","1,975.5","2.6%","227.6","-1.2%","1,747.9","3.2%","1.9","20.8","63.8","141.1","265.2","1,386.1","96.6","197.1%","-5.3%","-11.5%","3.9%","5.7%","0.6%","45.7%"
"Howard County","2017","322,066","5","70","202","498","810","4,342","357","6,284","0.4%","775","12.3%","7.5%","5,509","87.7%","-0.5%","1,951.2","-1.2%","240.6","5.7%","1,710.5","-2.1%","1.6","21.7","62.7","154.6","251.5","1,348.2","110.8","-18%","4.3%","-1.6%","9.6%","-5.2%","-2.7%","14.8%"
"Howard County","2018","323,435","1","73","130","441","442","3,855","255","5,197","-17.3%","645","12.4%","-16.8%","4,552","87.6%","-17.4%","1,606.8","-17.6%","199.4","-17.1%","1,407.4","-17.7%","0.3","22.6","40.2","136.3","136.7","1,191.9","78.8","-80.1%","3.8%","-35.9%","-11.8%","-45.7%","-11.6%","-28.9%"
"Howard County","2019","326,167","8","57","167","285","428","3,624","264","4,833","-7%","517","10.7%","-19.8%","4,316","89.3%","-5.2%","1,481.8","-7.8%","158.5","-20.5%","1,323.2","-6%","2.5","17.5","51.2","87.4","131.2","1,111.1","80.9","693.3%","-22.6%","27.4%","-35.9%","-4%","-6.8%","2.7%"
"Howard County","2020","329,010","7","48","137","205","346","3,000","250","3,993","-17.4%","397","9.9%","-23.2%","3,596","90.1%","-16.7%","1,213.6","-18.1%","120.7","-23.9%","1,093","-17.4%","2.1","14.6","41.6","62.3","105.2","911.8","76","-13.3%","-16.5%","-18.7%","-28.7%","-19.9%","-17.9%","-6.1%"
"Kent County","1975","16,640","0","1","6","42","226","314","21","610",,"49","8%",,"561","92%",,"3,665.9",,"294.5",,"3,371.4",,"0","6","36.1","252.4","1,358.2","1,887","126.2",,,,,,,
"Kent County","1976","16,785","0","9","4","90","142","254","21","520","-14.8%","103","19.8%","110.2%","417","80.2%","-25.7%","3,098","-15.5%","613.6","108.4%","2,484.4","-26.3%","0","53.6","23.8","536.2","846","1,513.3","125.1","0%","792.2%","-33.9%","112.4%","-37.7%","-19.8%","-0.9%"
"Kent County","1977","16,200","0","1","4","17","120","221","26","389","-25.2%","22","5.7%","-78.6%","367","94.3%","-12%","2,401.2","-22.5%","135.8","-77.9%","2,265.4","-8.8%","0","6.2","24.7","104.9","740.7","1,364.2","160.5","0%","-88.5%","3.6%","-80.4%","-12.4%","-9.9%","28.3%"
"Kent County","1978","16,647","2","4","1","19","140","259","21","446","14.7%","26","5.8%","18.2%","420","94.2%","14.4%","2,679.2","11.6%","156.2","15%","2,523","11.4%","12","24","6","114.1","841","1,555.8","126.1","1,201.4%","289.3%","-75.7%","8.8%","13.5%","14%","-21.4%"
"Kent County","1979","16,225","0","1","11","36","136","302","26","512","14.8%","48","9.4%","84.6%","464","90.6%","10.5%","3,155.6","17.8%","295.8","89.4%","2,859.8","13.3%","0","6.2","67.8","221.9","838.2","1,861.3","160.2","-100%","-74.3%","1,028.6%","94.4%","-0.3%","19.6%","27%"
"Kent County","1980","16,680","0","2","6","43","166","370","22","609","18.9%","51","8.4%","6.3%","558","91.6%","20.3%","3,651.1","15.7%","305.8","3.4%","3,345.3","17%","0","12","36","257.8","995.2","2,218.2","131.9","0%","94.5%","-46.9%","16.2%","18.7%","19.2%","-17.7%"
"Kent County","1981","16,954","1","2","6","44","140","368","20","581","-4.6%","53","9.1%","3.9%","528","90.9%","-5.4%","3,426.9","-6.1%","312.6","2.2%","3,114.3","-6.9%","5.9","11.8","35.4","259.5","825.8","2,170.6","118","589.8%","-1.6%","-1.6%","0.7%","-17%","-2.1%","-10.6%"
"Kent County","1982","16,970","0","2","2","42","137","400","16","599","3.1%","46","7.7%","-13.2%","553","92.3%","4.7%","3,529.8","3%","271.1","-13.3%","3,258.7","4.6%","0","11.8","11.8","247.5","807.3","2,357.1","94.3","-100%","-0.1%","-66.7%","-4.6%","-2.2%","8.6%","-20.1%"
"Kent County","1983","17,124","0","2","7","43","122","310","18","502","-16.2%","52","10.4%","13%","450","89.6%","-18.6%","2,931.6","-16.9%","303.7","12%","2,627.9","-19.4%","0","11.7","40.9","251.1","712.5","1,810.3","105.1","0%","-0.9%","246.9%","1.5%","-11.7%","-23.2%","11.5%"
